code,product_attribute,name_ar,name_en
abaya_size-42,abaya_size,42,42
abaya_size-44,abaya_size,44,44
abaya_size-46,abaya_size,46,46
abaya_size-48,abaya_size,48,48
abaya_size-50,abaya_size,50,50
abaya_size-52,abaya_size,52,52
abaya_size-54,abaya_size,54,54
abaya_size-56,abaya_size,56,56
abaya_size-58,abaya_size,58,58
abaya_size-60,abaya_size,60,60
abaya_height-140,abaya_height,140,140
abaya_height-145,abaya_height,145,145
abaya_height-150,abaya_height,150,150
abaya_height-155,abaya_height,155,155
abaya_height-160,abaya_height,160,160
