code,name,company_name,vat_account_number
V-0001,المنار الواسع,المنار الواسع,
V-0002,مؤسسة سلطان حمد الدباسي للعبايات,مؤسسة سلطان حمد عبدالعزيز صالح الدباسي التجارية,300728441300003
V-0003,مؤسسة اشراقة الموضة,مؤسسة اشراقة الموضة,310271781300003
V-0004,مؤسسة الابداع الغالي التجارية,مؤسسة الابداع الغالي التجارية,
V-0005,مؤسسة ابداع الماس للعبايات,مؤسسة ابداع الماس للعبايات,
V-0006,اسهم الريادة للعبايات,اسهم الريادة للعبايات,
V-0007,الجوري الماسي,الجوري الماسي ,300763561400003
V-0008,جوهرة ريتاج للاقمشة,جوهرة ريتاج للاقمشة,301295086700003
V-0009,مؤسسة دار اعجوبة للتجارة,مؤسسة دار اعجوبة للتجارة,310176238800003
V-0010,اناقتي غير,مؤسسة دار المعاصم للتجاره,300062559500003
V-0011,شركة مملكلة الطباعة,شركة مملكلة الطباعة,
V-0012,شموخ الحلوة,مؤسسة شموخ الحلوه للمقاولات,300027937600003
V-0013,عبدالله القاسم للعبايات,عبدالله القاسم للعبايات,
V-0014,لمسة نواعم للعبايات,لمسة نواعم للعبايات,
V-0015,اشواق ضواحي المطيري,محل أشواق ضواحي دحيم المطيري للتجارة,310188000400003
V-0016,مؤسسة وزوز للمقاولات,سعد ابراهيم الصفيان,300826172100003
V-0017,الراشد للعبايات والطرح,مؤسسة الارش للتجارة,
V-0018,مؤسسة فالح ناصر السهلي,مؤسسة فالح ناصر السهلي للمقاولات,310079260400003
